tile_index,ra,dec
102018211,57.9990741,-51.5
102018211,57.9990741,-51.5
102018211,57.9990741,-51.5
102018211,57.9990741,-51.5
102018212,58.793582,-51.5
102018212,58.793582,-51.5
102018212,58.793582,-51.5
102018212,58.793582,-51.5
102018213,59.5880898,-51.5
102018213,59.5880898,-51.5
102018213,59.5880898,-51.5
102018213,59.5880898,-51.5
102018664,56.5968129,-51.0
102018664,56.5968129,-51.0
102018664,56.5968129,-51.0
102018664,56.5968129,-51.0
102018665,57.3828797,-51.0
102018665,57.3828797,-51.0
102018665,57.3828797,-51.0
102018665,57.3828797,-51.0
102018666,58.1689466,-51.0
102018666,58.1689466,-51.0
102018666,58.1689466,-51.0
102018666,58.1689466,-51.0
102018667,58.9550134,-51.0
102018667,58.9550134,-51.0
102018667,58.9550134,-51.0
102018667,58.9550134,-51.0
102018668,59.7410802,-51.0
102018668,59.7410802,-51.0
102018668,59.7410802,-51.0
102018668,59.7410802,-51.0
102018669,60.5271471,-51.0
102018669,60.5271471,-51.0
102018669,60.5271471,-51.0
102018669,60.5271471,-51.0
102018670,61.3132139,-51.0
102018670,61.3132139,-51.0
102018670,61.3132139,-51.0
102018670,61.3132139,-51.0
102018671,62.0992808,-51.0
102018671,62.0992808,-51.0
102018671,62.0992808,-51.0
102018671,62.0992808,-51.0
102019122,56.0060578,-50.5
102019122,56.0060578,-50.5
102019122,56.0060578,-50.5
102019122,56.0060578,-50.5
102019123,56.7839197,-50.5
102019123,56.7839197,-50.5
102019123,56.7839197,-50.5
102019123,56.7839197,-50.5
102019124,57.5617816,-50.5
102019124,57.5617816,-50.5
102019124,57.5617816,-50.5
102019124,57.5617816,-50.5
102019125,58.3396435,-50.5
102019125,58.3396435,-50.5
102019125,58.3396435,-50.5
102019125,58.3396435,-50.5
102019126,59.1175054,-50.5
102019126,59.1175054,-50.5
102019126,59.1175054,-50.5
102019126,59.1175054,-50.5
102019127,59.8953673,-50.5
102019127,59.8953673,-50.5
102019127,59.8953673,-50.5
102019127,59.8953673,-50.5
102019128,60.6732292,-50.5
102019128,60.6732292,-50.5
102019128,60.6732292,-50.5
102019128,60.6732292,-50.5
102019129,61.4510912,-50.5
102019129,61.4510912,-50.5
102019129,61.4510912,-50.5
102019129,61.4510912,-50.5
102019130,62.2289531,-50.5
102019130,62.2289531,-50.5
102019130,62.2289531,-50.5
102019130,62.2289531,-50.5
102019131,63.006815,-50.5
102019131,63.006815,-50.5
102019131,63.006815,-50.5
102019131,63.006815,-50.5
102019585,55.4316856,-50.0
102019585,55.4316856,-50.0
102019585,55.4316856,-50.0
102019585,55.4316856,-50.0
102019586,56.2015701,-50.0
102019586,56.2015701,-50.0
102019586,56.2015701,-50.0
102019586,56.2015701,-50.0
102019587,56.9714546,-50.0
102019587,56.9714546,-50.0
102019587,56.9714546,-50.0
102019587,56.9714546,-50.0
102019588,57.7413391,-50.0
102019588,57.7413391,-50.0
102019588,57.7413391,-50.0
102019588,57.7413391,-50.0
102019589,58.5112236,-50.0
102019589,58.5112236,-50.0
102019589,58.5112236,-50.0
102019589,58.5112236,-50.0
102019590,59.2811082,-50.0
102019590,59.2811082,-50.0
102019590,59.2811082,-50.0
102019590,59.2811082,-50.0
102019591,60.0509927,-50.0
102019591,60.0509927,-50.0
102019591,60.0509927,-50.0
102019591,60.0509927,-50.0
102019592,60.8208772,-50.0
102019592,60.8208772,-50.0
102019592,60.8208772,-50.0
102019592,60.8208772,-50.0
102019593,61.5907617,-50.0
102019593,61.5907617,-50.0
102019593,61.5907617,-50.0
102019593,61.5907617,-50.0
102019594,62.3606463,-50.0
102019594,62.3606463,-50.0
102019594,62.3606463,-50.0
102019594,62.3606463,-50.0
102019595,63.1305308,-50.0
102019595,63.1305308,-50.0
102019595,63.1305308,-50.0
102019595,63.1305308,-50.0
102019596,63.9004153,-50.0
102019596,63.9004153,-50.0
102019596,63.9004153,-50.0
102019596,63.9004153,-50.0
102020053,54.8731111,-49.5
102020053,54.8731111,-49.5
102020053,54.8731111,-49.5
102020053,54.8731111,-49.5
102020054,55.6352377,-49.5
102020054,55.6352377,-49.5
102020054,55.6352377,-49.5
102020054,55.6352377,-49.5
102020055,56.3973642,-49.5
102020055,56.3973642,-49.5
102020055,56.3973642,-49.5
102020055,56.3973642,-49.5
102020056,57.1594908,-49.5
102020056,57.1594908,-49.5
102020056,57.1594908,-49.5
102020056,57.1594908,-49.5
102020057,57.9216173,-49.5
102020057,57.9216173,-49.5
102020057,57.9216173,-49.5
102020057,57.9216173,-49.5
102020058,58.6837438,-49.5
102020058,58.6837438,-49.5
102020058,58.6837438,-49.5
102020058,58.6837438,-49.5
102020059,59.4458704,-49.5
102020059,59.4458704,-49.5
102020059,59.4458704,-49.5
102020059,59.4458704,-49.5
102020060,60.2079969,-49.5
102020060,60.2079969,-49.5
102020060,60.2079969,-49.5
102020060,60.2079969,-49.5
102020061,60.9701235,-49.5
102020061,60.9701235,-49.5
102020061,60.9701235,-49.5
102020061,60.9701235,-49.5
102020062,61.73225,-49.5
102020062,61.73225,-49.5
102020062,61.73225,-49.5
102020062,61.73225,-49.5
102020063,62.4943766,-49.49875
102020063,62.4943766,-49.49875
102020063,62.4943766,-49.49875
102020063,62.4943766,-49.49875
102020064,63.2565031,-49.5
102020064,63.2565031,-49.5
102020064,63.2565031,-49.5
102020064,63.2565031,-49.5
102020065,64.0186296,-49.5
102020065,64.0186296,-49.5
102020065,64.0186296,-49.5
102020065,64.0186296,-49.5
102020066,64.7807562,-49.5
102020066,64.7807562,-49.5
102020066,64.7807562,-49.5
102020066,64.7807562,-49.5
102020527,55.0843581,-49.0
102020527,55.0843581,-49.0
102020527,55.0843581,-49.0
102020527,55.0843581,-49.0
102020528,55.8389383,-49.0
102020528,55.8389383,-49.0
102020528,55.8389383,-49.0
102020528,55.8389383,-49.0
102020529,56.5935186,-49.0
102020529,56.5935186,-49.0
102020529,56.5935186,-49.0
102020529,56.5935186,-49.0
102020530,57.3480988,-48.9815
102020530,57.3480988,-48.9815
102020530,57.3480988,-48.9815
102020530,57.3480988,-48.9815
102020531,58.1026791,-49.0
102020531,58.1026791,-49.0
102020531,58.1026791,-49.0
102020531,58.1026791,-49.0
102020532,58.8572593,-49.0
102020532,58.8572593,-49.0
102020532,58.8572593,-49.0
102020532,58.8572593,-49.0
102020533,59.6118396,-49.0
102020533,59.6118396,-49.0
102020533,59.6118396,-49.0
102020533,59.6118396,-49.0
102020534,60.3664198,-49.0
102020534,60.3664198,-49.0
102020534,60.3664198,-49.0
102020534,60.3664198,-49.0
102020535,61.121,-49.0
102020535,61.121,-49.0
102020535,61.121,-49.0
102020535,61.121,-49.0
102020536,61.8755803,-49.0
102020536,61.8755803,-49.0
102020536,61.8755803,-49.0
102020536,61.8755803,-49.0
102020537,62.63343559974,-49.0
102020537,62.63343559974,-49.0
102020537,62.63343559974,-49.0
102020537,62.63343559974,-49.0
102020538,63.3847408,-49.0
102020538,63.3847408,-49.0
102020538,63.3847408,-49.0
102020538,63.3847408,-49.0
102020539,64.139321,-49.0
102020539,64.139321,-49.0
102020539,64.139321,-49.0
102020539,64.139321,-49.0
102020540,64.8939013,-49.0
102020540,64.8939013,-49.0
102020540,64.8939013,-49.0
102020540,64.8939013,-49.0
102020541,65.6484815,-49.0
102020541,65.6484815,-49.0
102020541,65.6484815,-49.0
102020541,65.6484815,-49.0
102020542,66.4030618,-49.0
102020542,66.4030618,-49.0
102020542,66.4030618,-49.0
102020542,66.4030618,-49.0
102021006,55.2956323,-48.5
102021006,55.2956323,-48.5
102021006,55.2956323,-48.5
102021006,55.2956323,-48.5
102021007,56.0428706,-48.5
102021007,56.0428706,-48.5
102021007,56.0428706,-48.5
102021007,56.0428706,-48.5
102021008,56.7901089,-48.5
102021008,56.7901089,-48.5
102021008,56.7901089,-48.5
102021008,56.7901089,-48.5
102021009,57.5373472,-48.5
102021009,57.5373472,-48.5
102021009,57.5373472,-48.5
102021009,57.5373472,-48.5
102021010,58.2845854,-48.5
102021010,58.2845854,-48.5
102021010,58.2845854,-48.5
102021010,58.2845854,-48.5
102021011,59.0318237,-48.5
102021011,59.0318237,-48.5
102021011,59.0318237,-48.5
102021011,59.0318237,-48.5
102021012,59.779062,-48.5
102021012,59.779062,-48.5
102021012,59.779062,-48.5
102021012,59.779062,-48.5
102021013,60.5263003,-48.5
102021013,60.5263003,-48.5
102021013,60.5263003,-48.5
102021013,60.5263003,-48.5
102021014,61.2735385,-48.5
102021014,61.2735385,-48.5
102021014,61.2735385,-48.5
102021014,61.2735385,-48.5
102021015,62.0207768,-48.51755
102021015,62.0207768,-48.51755
102021015,62.0207768,-48.51755
102021015,62.0207768,-48.51755
102021016,62.7680151,-48.5
102021016,62.7680151,-48.5
102021016,62.7680151,-48.5
102021016,62.7680151,-48.5
102021017,63.5152534,-48.5
102021017,63.5152534,-48.5
102021017,63.5152534,-48.5
102021017,63.5152534,-48.5
102021018,64.2624916,-48.5
102021018,64.2624916,-48.5
102021018,64.2624916,-48.5
102021018,64.2624916,-48.5
102021019,65.0097299,-48.48655
102021019,65.0097299,-48.48655
102021019,65.0097299,-48.48655
102021019,65.0097299,-48.48655
102021020,65.7569682,-48.5
102021020,65.7569682,-48.5
102021020,65.7569682,-48.5
102021020,65.7569682,-48.5
102021021,66.5042065,-48.5
102021021,66.5042065,-48.5
102021021,66.5042065,-48.5
102021021,66.5042065,-48.5
102021490,56.2471149,-48.0
102021490,56.2471149,-48.0
102021490,56.2471149,-48.0
102021490,56.2471149,-48.0
102021491,56.9872085,-48.0
102021491,56.9872085,-48.0
102021491,56.9872085,-48.0
102021491,56.9872085,-48.0
102021492,57.7273021,-48.0
102021492,57.7273021,-48.0
102021492,57.7273021,-48.0
102021492,57.7273021,-48.0
102021493,58.4673957,-48.0
102021493,58.4673957,-48.0
102021493,58.4673957,-48.0
102021493,58.4673957,-48.0
102021494,59.2074893,-48.0
102021494,59.2074893,-48.0
102021494,59.2074893,-48.0
102021494,59.2074893,-48.0
102021495,59.9475829,-48.0
102021495,59.9475829,-48.0
102021495,59.9475829,-48.0
102021495,59.9475829,-48.0
102021496,60.6876765,-48.0
102021496,60.6876765,-48.0
102021496,60.6876765,-48.0
102021496,60.6876765,-48.0
102021497,61.4277702,-48.0
102021497,61.4277702,-48.0
102021497,61.4277702,-48.0
102021497,61.4277702,-48.0
102021498,62.1678638,-48.0
102021498,62.1678638,-48.0
102021498,62.1678638,-48.0
102021498,62.1678638,-48.0
102021499,62.9079574,-48.0
102021499,62.9079574,-48.0
102021499,62.9079574,-48.0
102021499,62.9079574,-48.0
102021500,63.648051,-48.0
102021500,63.648051,-48.0
102021500,63.648051,-48.0
102021500,63.648051,-48.0
102021501,64.3881446,-48.0
102021501,64.3881446,-48.0
102021501,64.3881446,-48.0
102021501,64.3881446,-48.0
102021502,65.1282382,-48.0
102021502,65.1282382,-48.0
102021502,65.1282382,-48.0
102021502,65.1282382,-48.0
102021503,65.8683319,-48.0
102021503,65.8683319,-48.0
102021503,65.8683319,-48.0
102021503,65.8683319,-48.0
102021504,66.6084255,-48.0
102021504,66.6084255,-48.0
102021504,66.6084255,-48.0
102021504,66.6084255,-48.0
102021505,67.33389834631,-48.0
102021505,67.33389834631,-48.0
102021505,67.33389834631,-48.0
102021505,67.33389834631,-48.0
102021978,56.4517486,-47.5
102021978,56.4517486,-47.5
102021978,56.4517486,-47.5
102021978,56.4517486,-47.5
102021979,57.1848882,-47.5
102021979,57.1848882,-47.5
102021979,57.1848882,-47.5
102021979,57.1848882,-47.5
102021980,57.9180278,-47.5
102021980,57.9180278,-47.5
102021980,57.9180278,-47.5
102021980,57.9180278,-47.5
102021981,58.6511674,-47.5
102021981,58.6511674,-47.5
102021981,58.6511674,-47.5
102021981,58.6511674,-47.5
102021982,59.384307,-47.5
102021982,59.384307,-47.5
102021982,59.384307,-47.5
102021982,59.384307,-47.5
102021983,60.1174466,-47.5
102021983,60.1174466,-47.5
102021983,60.1174466,-47.5
102021983,60.1174466,-47.5
102021984,60.8505862,-47.5
102021984,60.8505862,-47.5
102021984,60.8505862,-47.5
102021984,60.8505862,-47.5
102021985,61.5837258,-47.5
102021985,61.5837258,-47.5
102021985,61.5837258,-47.5
102021985,61.5837258,-47.5
102021986,62.3168654,-47.5
102021986,62.3168654,-47.5
